hidden_size,learning_rate,dropout,rmse,training_time,bootstrap_series,s_score,mape,r2
224.0,0.0003961709752902,0.3,43.8257737409625,313.9463858604431,51.0,10346474.054581525,28.639019358148527,-0.11655020713806152
224.0,0.0003961709752902,0.2,23.295080163874157,294.24380898475647,52.0,9195.186541934043,23.852324792462937,0.6845376491546631
160.0,0.0075294956296533,0.5,13.997206933439655,218.20768547058105,53.0,889.7962078858304,22.47729302934607,0.8861057162284851
160.0,0.0075294956296533,0.4,15.395332066222867,216.6080777645111,54.0,1623.1382163622043,25.68210370028947,0.8622164726257324
160.0,0.0075294956296533,0.3,16.794596239094712,218.65378499031067,55.0,4257.468129634693,21.950199101001626,0.8360323309898376
160.0,0.0075294956296533,0.2,15.94864950185524,218.25588154792786,56.0,1905.669078936801,28.49335814949589,0.8521344661712646
160.0,0.0044111853261593,0.5,23.693092324270033,280.5409982204437,57.0,15963.265021520641,24.096550312339826,0.6736657619476318
160.0,0.0044111853261593,0.4,15.249146777285551,270.4092483520508,58.0,1889.613720120616,23.51892599058865,0.8648207187652588
160.0,0.0044111853261593,0.3,22.880875078119825,266.2763478755951,59.0,8351.587737678643,23.644144012249622,0.6956562995910645
160.0,0.0044111853261593,0.2,15.76586473953204,262.45145058631897,60.0,1989.4291275715345,20.75363551860158,0.8555043935775757
160.0,0.0036328834443756,0.5,12.878217509471801,262.32365107536316,61.0,823.9651482938248,20.815301326128107,0.9035881161689758
160.0,0.0036328834443756,0.4,13.865648479378416,258.3529255390167,62.0,1082.8633791570073,19.395234776126365,0.8882366418838501
160.0,0.0036328834443756,0.3,18.94542363530602,256.0906512737274,63.0,7011.596041215657,19.67432431673995,0.7913455367088318
160.0,0.0036328834443756,0.2,14.103708174712699,253.82954812049866,64.0,1023.8006976605429,18.23908493083961,0.884365975856781
160.0,0.0031904191649447,0.5,12.93872537708642,248.6245527267456,65.0,868.1044794803795,21.363382268225532,0.902679979801178
160.0,0.0031904191649447,0.4,25.79920300502992,257.36718010902405,66.0,19700.258153813083,20.981580360230076,0.6130706667900085
